summary: total num 1346 | acc 0.70579
model: [blueLM-7B-Chat]

subject: strict_0_shot_accountant  | num: 49    | acc: 0.73469
subject: strict_0_shot_advanced_mathematics | num: 19    | acc: 0.26316
subject: strict_0_shot_art_studies | num: 33    | acc: 0.63636
subject: strict_0_shot_basic_medicine | num: 19    | acc: 0.78947
subject: strict_0_shot_business_administration | num: 33    | acc: 0.66667
subject: strict_0_shot_chinese_language_and_literature | num: 23    | acc: 0.60870
subject: strict_0_shot_civil_servant | num: 47    | acc: 0.63830
subject: strict_0_shot_clinical_medicine | num: 22    | acc: 0.63636
subject: strict_0_shot_college_chemistry | num: 24    | acc: 0.45833
subject: strict_0_shot_college_economics | num: 55    | acc: 0.54545
subject: strict_0_shot_college_physics | num: 19    | acc: 0.68421
subject: strict_0_shot_college_programming | num: 37    | acc: 0.62162
subject: strict_0_shot_computer_architecture | num: 21    | acc: 0.85714
subject: strict_0_shot_computer_network | num: 19    | acc: 0.47368
subject: strict_0_shot_discrete_mathematics | num: 16    | acc: 0.18750
subject: strict_0_shot_education_science | num: 29    | acc: 0.89655
subject: strict_0_shot_electrical_engineer | num: 37    | acc: 0.59459
subject: strict_0_shot_environmental_impact_assessment_engineer | num: 31    | acc: 0.83871
subject: strict_0_shot_fire_engineer | num: 31    | acc: 0.77419
subject: strict_0_shot_high_school_biology | num: 19    | acc: 0.78947
subject: strict_0_shot_high_school_chemistry | num: 19    | acc: 0.73684
subject: strict_0_shot_high_school_chinese | num: 19    | acc: 0.73684
subject: strict_0_shot_high_school_geography | num: 19    | acc: 0.73684
subject: strict_0_shot_high_school_history | num: 20    | acc: 0.75000
subject: strict_0_shot_high_school_mathematics | num: 18    | acc: 0.50000
subject: strict_0_shot_high_school_physics | num: 19    | acc: 0.52632
subject: strict_0_shot_high_school_politics | num: 19    | acc: 0.84211
subject: strict_0_shot_ideological_and_moral_cultivation | num: 19    | acc: 0.94737
subject: strict_0_shot_law         | num: 24    | acc: 0.54167
subject: strict_0_shot_legal_professional | num: 23    | acc: 0.73913
subject: strict_0_shot_logic       | num: 22    | acc: 0.72727
subject: strict_0_shot_mao_zedong_thought | num: 24    | acc: 0.87500
subject: strict_0_shot_marxism     | num: 19    | acc: 0.94737
subject: strict_0_shot_metrology_engineer | num: 24    | acc: 0.75000
subject: strict_0_shot_middle_school_biology | num: 21    | acc: 0.85714
subject: strict_0_shot_middle_school_chemistry | num: 20    | acc: 0.90000
subject: strict_0_shot_middle_school_geography | num: 12    | acc: 0.91667
subject: strict_0_shot_middle_school_history | num: 22    | acc: 0.90909
subject: strict_0_shot_middle_school_mathematics | num: 19    | acc: 0.47368
subject: strict_0_shot_middle_school_physics | num: 19    | acc: 0.73684
subject: strict_0_shot_middle_school_politics | num: 21    | acc: 0.80952
subject: strict_0_shot_modern_chinese_history | num: 23    | acc: 0.86957
subject: strict_0_shot_operating_system | num: 19    | acc: 0.42105
subject: strict_0_shot_physician   | num: 49    | acc: 0.81633
subject: strict_0_shot_plant_protection | num: 22    | acc: 0.68182
subject: strict_0_shot_probability_and_statistics | num: 18    | acc: 0.44444
subject: strict_0_shot_professional_tour_guide | num: 29    | acc: 0.93103
subject: strict_0_shot_sports_science | num: 19    | acc: 0.84211
subject: strict_0_shot_tax_accountant | num: 49    | acc: 0.69388
subject: strict_0_shot_teacher_qualification | num: 44    | acc: 0.79545
subject: strict_0_shot_urban_and_rural_planner | num: 46    | acc: 0.76087
subject: strict_0_shot_veterinary_medicine | num: 23    | acc: 0.65217
