question,label,generate_result,choice_result,logits
"题目： “泻南补北”法适用于
A. 肾阴虚而肝阳亢
B. 肾阴虚而相火动
C. 心阴虚而心阳亢
D. 肾阴虚而心火旺",D,D,D,"0.3670658078030583,0.6537474042425494,0.18630700045820747,0.8242470005654517"
"题目： 由于暑性升散，故致病可见
A. 易耗气伤津
B. 易为阳热症状
C. 易生风动血
D. 易伤人体上部及肌表",A,C,C,"0.30411513664004974,0.7968953290711974,0.9176469092654568,0.36791088500083613"
"题目： “血之府”是指
A. 肝
B. 脉
C. 冲脉
D. 心",B,C,C,"0.08822059227569279,0.6770073993988922,0.9590729631341351,0.7106692672641756"
"题目： “大实有羸状”的病机应属于
A. 真虚假实
B. 虚实夹杂
C. 真实假虚
D. 虚中夹实",C,B,B,"0.7132097911736879,0.9007510529806523,0.33638495363470755,0.2000232959009003"
"题目： 在五行生克关系中，下列哪项是错误的？
A. 木克土
B. 火生土
C. 水克木
D. 金生水",C,B,B,"0.7599144483106192,0.8435187644755604,0.4173471161229776,0.04015343615875022"
"题目： 患者身热，手足心热，微恶风寒，少汗，头昏心烦，口干，干咳少痰，鼻塞流涕，舌红少苔，脉细数。其治法为
A. 益气解表
B. 助阳解表
C. 滋阴解表
D. 养血解表",C,D,D,"0.3119171308306057,0.24209342387577526,0.09749394431467973,0.7984976984506843"
"题目： 不属于“阴盛则内寒“机理的是
A. 寒气积于胸中
B. 血凝泣
C. 卫气不得泄越
D. 脉不通",C,A,A,"0.9851902232980863,0.6388171609402346,0.33396135708580876,0.519738786710454"
"题目： 内湿的产生与哪一脏的关系最为密切
A. 肺
B. 肝
C. 肾
D. 脾",D,A,A,"0.9319239393313489,0.7005605037114325,0.06938578237068727,0.8535221557488457"
"题目： 罂粟壳每张处方用量规定为
A. 15～18g
B. 3～6g
C. 5～8g
D. 8～15g",B,D,D,"0.16952724653572748,0.009825184560720124,0.3393337397679257,0.3834670467808009"
"题目： 对机体各脏腑组织起着推动温煦作用的主要是
A. 脾气
B. 肾阳
C. 心阳
D. 肺气",B,C,C,"0.5997922897864241,0.28175112274387004,0.6983589359639766,0.0283177172409671"
"题目： 眩晕，失眠，健忘，心悸，面唇紫暗，耳鸣耳聋，舌有瘀点，脉弦涩。此眩晕证属
A. 肾精不足
B. 肝阳上亢
C. 痰浊中阻
D. 瘀血阻络",D,D,D,"0.3298725982906061,0.16083387452509068,0.7029425715663803,0.9141776009397062"
"题目： 病人肢体软弱，行动不便属
A. 瘫痪
B. 痿病
C. 痹病
D. 痫病",B,A,A,"0.9904968013201241,0.8872172128421864,0.5040563358665239,0.6873387243066316"
"题目： 在温病学方面，创立以“三焦为核心”的辨证论治方法的医家是
A. 朱丹溪
B. 吴又可
C. 吴鞠通
D. 刘完素",C,A,A,"0.49240463990163785,0.3054776883315937,0.22509623632944598,0.009147536732893369"
"题目： 据《素问·脉要精微论》，“五脏者，中之守也”是指
A. 五脏内藏气血
B. 五脏内舍五志
C. 五脏内藏精气
D. 五脏内守中气",C,B,B,"0.7228506391221676,0.8342703184954213,0.32283724795929436,0.776727985762352"
"题目： 据《素问·举痛论》，惊则
A. 气缓
B. 气上
C. 气结
D. 气乱",D,A,A,"0.5285316034958804,0.20135558891805294,0.07966578909745681,0.4050688946941787"
"题目： 导致人体生命死亡的根本病机是
A. 阴阳失调
B. 阴阳偏盛
C. 阴阳离决
D. 阴阳偏衰",C,B,B,"0.12310590582519443,0.42381702050970727,0.0371477107172965,0.3366624866656317"
